,Record Number,BBL,Co-reported BBL Status,BBLs Co-reported,Reported NYC Building Identificaiton Numbers (BINs),Street Number,Street Name,Borough,Postcode,DOF Benchmarking Submission Status,Site EUI(kBtu/ft2),Weather Normalized Site EUI(kBtu/ft2),Source EUI(kBtu/ft2),Weather Normalized Source EUI(kBtu/ft2),Municipally Supplied Potable Water - Indoor Intensity (gal/ft²),Automatic Water Benchmarking Eligible,Reported Water Method,ENERGY STAR Score,Total GHG Emissions(MtCO2e),Direct GHG Emissions(MtCO2e),Indirect GHG Emissions(MtCO2e),Reported Property Floor Area (Building(s)) (ft²),DOF Property Floor Area (Buildngs and Parking)(ft2),Primary Property Type - Self Selected,DOF Number of Buildings,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,NTA
12897,11572,4097110032.0,,4-09711-0032,4457397,139-21,85 DRIVE,Queens,11435.0,Filed,104.1,103.3,141.2,140.5,31.86,Yes,None,Not Available,368.9,292.4,76.5,61320,122640.0,Multifamily Housing,1.0,,,,,,,
5243,1008,1007750044.0,,1-00775-0044,1082532,200,WEST   26 STREET,Manhattan,10001.0,Filed,102.5,102.5,180,180.1,56.26,Yes,ABS,Not Available,1885.4,1095.4,790,277680,264000.0,Multifamily Housing,1.0,40.746177,-73.994691,4.0,3.0,91.0,1082532.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
15115,14327,4019180085.0,,,,98-23,HOR HARDING EP SR N,Queens,11368.0,No Submission Matched to BBL,,,,,,Yes,None,,,,,,232000.0,,1.0,,,,,,,
10108,9575,3076880041.0,,3-07688-0041,3211156,2702,KINGS HIGHWAY,Brooklyn,11229.0,Filed,30.7,Not Available,50.6,Not Available,47.22,No,Manual,Not Available,231.8,149.3,82.5,113820,113820.0,Multifamily Housing,1.0,40.614312,-73.94728,15.0,45.0,642.0,3211156.0,Madison                                                                    
11506,10577,4022880027.0,,4022880027,4052981,48-10,45 STREET,Queens,11377.0,Filed,,Not Available,,Not Available,Not Available,No,None,Not Available,,0,,63112,59580.0,Multifamily Housing,1.0,,,,,,,
9859,9262,3067810027.0,,3-06781-0027,3182485,1656,EAST   19 STREET,Brooklyn,11229.0,Filed,59.6,Not Available,80,Not Available,Not Available,No,None,Not Available,199.8,159.8,40,58800,50400.0,Multifamily Housing,1.0,40.60958,-73.954573,15.0,48.0,552.0,3182485.0,Madison                                                                    
11776,10928,4049740027.0,,4-04974-0027,4112290,37-02,MAIN STREET,Queens,11354.0,Filed,116.4,116.4,208.3,208.3,Not Available,No,None,Not Available,647,351.6,295.4,88100,76326.0,Office,1.0,,,,,,,
10560,7960,3020500001.0,Secondary,3020400001;3020410001;3020340001;3020500001,3335245;3335246;3335247;3335249;3335250;3335251;3335252;3335253;3335254;3335255;3335256;3335257;3335258;3335259;3335261;3335262;3345021;3257034;3257035;3257036;3257037;3257038;3257039;3257040;3257041;3257042;3257043;3257045;3257046;3335228;3335229;3335230;3335231;3335232;3335233;3340606;3345032;3345036,173,MYRTLE AVENUE,Brooklyn,11201.0,Filed,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,592500.0,,1.0,40.693614000000004,-73.98247099999999,2.0,35.0,15.0,3257034.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
10118,12209,3009320400.0,,3009320400,3222219,,,Brooklyn,,BBL not valid,37.8,37.3,83.3,82.6,Not Available,,,47,519.6,180.3,339.3,200000,,Distribution Center,,,,,,,,
16028,13063,1018930025.0,,,,312,WEST  109 STREET,Manhattan,10025.0,No Submission Matched to BBL,,,,,,Yes,None,,,,,,51885.0,,1.0,40.803744,-73.967574,7.0,6.0,195.0,1057311.0,Morningside Heights                                                        
